PATH	TITLE	PURPOSE	AUDIENCE	REQUIREMENTS	SHA256	STATUS
docs/01-OVERVIEW-AND-ARCHITECTURE.md	Visão geral e arquitetura	Explicar componentes, fluxo e fronteiras	Administradores, arquitetos e revisores	PUB-REQ-001–009; PUB-REQ-023–038	d5b147c7ea809455aee6af318bff1a4664c6ca26974cd4e6614be5e02bce8ae5	PUBLIC_CANONICAL
docs/02-REQUIREMENTS-AND-DEPENDENCIES.md	Requisitos e dependências	Definir plataforma e pré-condições	Administradores e mantenedores	PUB-REQ-001; PUB-REQ-004–005; PUB-REQ-022	ec219e786e69cf561376a88ed5e50f2583e6f21672b72115094313562a7d1687	PUBLIC_CANONICAL
docs/03-FILESYSTEM-LAYOUT-AND-PERMISSIONS.md	Layout de filesystem e permissões	Definir FHS, modos e storage	Administradores e segurança	PUB-REQ-010–014; PUB-REQ-023	6958d3aa7a28a925c735b4d121ba0f550cc9c7c2b7bdedbdc5a6c7c3a8741d06	PUBLIC_CANONICAL
docs/04-PACKAGE-LAYOUT-CONTRACT.md	Contrato de layout do pacote	Especificar conteúdo distribuível	Mantenedores e empacotadores	PUB-REQ-044–047	788cefbef8deb7eb39922c5e1c7e810fa4b77d5f205f82db06482990f9c3fbf2	PUBLIC_CANONICAL
docs/05-INSTALLATION.md	Instalação	Descrever implantação controlada por gates	Administradores de implantação	PUB-REQ-010–024; PUB-REQ-042; PUB-REQ-049	1815f3e91f1be0ab583b8c2a5fb55a38195b7febae1a819a5e48840a725ab03c	PUBLIC_CANONICAL
docs/06-CONFIGURATION-REFERENCE.md	Referência de configuração	Documentar parser e modelos declarativos	Administradores, operadores e revisores	PUB-REQ-007; PUB-REQ-015–022	1b4dbe81594c3e04884ebf642d71d51e6f75ab9df497a6b064c1fd1aa3f327c6	PUBLIC_CANONICAL
docs/07-COMMAND-REFERENCE.md	Referência de comandos	Definir interface administrativa e efeitos	Operadores e administradores	PUB-REQ-002; PUB-REQ-025–028; PUB-REQ-041	30c00e88b08d09e9e50625794507f610dcc0f5dafa0c9991eacd5ce8f32a0d13	PUBLIC_CANONICAL
docs/08-BACKUP-LIFECYCLE-AND-CONSISTENCY.md	Lifecycle de backup e consistência	Explicar sequência e falha segura	Operadores e revisores	PUB-REQ-009; PUB-REQ-013–014; PUB-REQ-023–033	0a14ebb2a696b004d576a26098946523456e974cc1fc11368a13f69d1177676f	PUBLIC_CANONICAL
docs/09-DATABASES.md	Bancos de dados	Definir dumps e restores suportados	Administradores de banco e recuperação	PUB-REQ-005; PUB-REQ-017; PUB-REQ-032–033; PUB-REQ-043	89dbda7a8ab1fae1785ef21bc8ca162d4760211f1604950a9676ef3d1ef14233	PUBLIC_CANONICAL
docs/10-SYSTEMD-SCHEDULING-AND-LOGROTATE.md	systemd, agendamento e logrotate	Documentar timer, unit e rotação	Administradores Debian	PUB-REQ-012; PUB-REQ-042	983cf63cf07cd98e4fe7746c8db353b893a3c0cf36de923d8fc52f5524cef5d9	PUBLIC_CANONICAL
docs/11-REPLICATION-AND-REMOTE-RECEIVER.md	Replicação fria e receptor remoto	Explicar transporte e generations	Administradores de backup e SSH	PUB-REQ-009; PUB-REQ-021; PUB-REQ-034–038	4c19a0cc44090e22cdffc7fe8af47d3285d2e9bd53e17972268dc5c79e7d4702	PUBLIC_CANONICAL
docs/12-SECURITY-AND-SECRET-CUSTODY.md	Segurança e custódia de segredos	Definir ameaças e custódia	Segurança, auditoria e administração	PUB-REQ-006–009; PUB-REQ-020; PUB-REQ-034–035; PUB-REQ-039–045	5b7ee8d1a80ff9c375eb7acfb08845929864272fb5d2032c6979006f455d1262	PUBLIC_CANONICAL
docs/13-LOGGING-REPORTS-STATE-AND-EXIT-CODES.md	Logging, relatórios, estado e códigos de saída	Definir observabilidade e resultados	Operadores, monitoramento e auditoria	PUB-REQ-024; PUB-REQ-039–041	0464d78c952d2f4824946a6d1416328f62b59e1442f94b09175ce239433dea8d	PUBLIC_CANONICAL
docs/14-RESTORE-AND-RECOVERY-VALIDATION.md	Restauração e validação de recuperação	Estabelecer testes isolados	Administradores de recuperação	PUB-REQ-028; PUB-REQ-032; PUB-REQ-036–037; PUB-REQ-043–044	4de680a11f964f1065442d76622ca59ae5c4e6c884dd31386b6783795dbcbb31	PUBLIC_CANONICAL
docs/15-OPERATIONS-RUNBOOK.md	Runbook de operações	Orientar operação contínua	Operadores e administradores	PUB-REQ-022–043	5fac42ab3a2c89d46ea07e7228d893758e28a84856ba2302ae4e4b4b19e95e89	PUBLIC_CANONICAL
docs/16-TROUBLESHOOTING.md	Troubleshooting	Orientar diagnóstico seguro	Operadores e suporte	PUB-REQ-009–043	bc6b9feceef199c1e4a6a726170a16188dbc43298bc86eee19b7bdf9ba204420	PUBLIC_CANONICAL
docs/17-UPGRADE-ROLLBACK-AND-UNINSTALL.md	Upgrade, rollback e desinstalação	Definir ciclo de vida do produto	Administradores de release e implantação	PUB-REQ-046–049	9889ec992c8b2ecc3540943790329fca9382f3749b8cce07fe3bd873f19ff003	PUBLIC_CANONICAL
docs/18-POST-DEPLOY-VALIDATION-CHECKLIST.md	Checklist de validação pós-deploy	Comprovar aptidão da implantação	Implantadores e revisores	PUB-REQ-022; PUB-REQ-042–050	b2d11038660f2ef24e631d1bd1a0396822b406ab8270e92cc60691151f5567a2	PUBLIC_CANONICAL
docs/GLOSSARY.md	Glossário	Padronizar terminologia	Todos os públicos	PUB-REQ-001–050	c615cad336caf58db04d3c63c377ce35b9adb1fc07e2a32b522df2d4b3ab5f6f	PUBLIC_CANONICAL
docs/README.md	Borg Backup para Debian 13 — documentação técnica	Indexar o conjunto canônico	Todos os públicos	PUB-REQ-001–005; PUB-REQ-050	3b9c109d1c67f3c2831f32dc728d1462618de32c5fd8c87b08be02e582dc8a4c	PUBLIC_CANONICAL
docs/SOURCE-TO-DOCUMENT-MATRIX.md	Matriz de rastreabilidade pública	Provar cobertura dos requisitos	Revisores, auditores e mantenedores	PUB-REQ-001–050	c0029d881d04cee36a3015928c7ceb3047932606bf2d16fa74d94854f256d1a6	PUBLIC_CANONICAL
docs/reference/SPECIFICATION.md	Especificação pública do Borg Backup	Definir o contrato normativo autocontido	Mantenedores, administradores e revisores	PUB-REQ-001–050	291776b9eca3149872063187585f9c778199c776d54ef99ede7181e8c7c627a0	PUBLIC_CANONICAL
